OLD_URL,NEW_URL
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-jackets-shelljackets,https://www.pedigreeskishop.com/kids-jackets-shell
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-jackets-snowboardjackets,https://www.pedigreeskishop.com/kids-jackets-snowboard
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-jackets-softshelljackets,https://www.pedigreeskishop.com/kids-jackets-shell
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-jackets/brand/KILLTEC,http://209.208.39.58:8999/kids-jackets/browse/brand/killtec
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-jackets/brand/KJUS,http://209.208.39.58:8999/kids-jackets/browse/brand/kjus
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-pants,https://www.pedigreeskishop.com/kids-pants
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-pants-bibs,https://www.pedigreeskishop.com/kids-pants-bibs
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-pants-fleecepants,http://209.208.39.58:8999/kids-pants
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-pants-insulatedpants,https://www.pedigreeskishop.com/kids-pants-insulated
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-pants-shellpants,http://209.208.39.58:8999/kids-pants
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-pants-snowboardpants,https://www.pedigreeskishop.com/kids-pants-snowboard
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-pants/brand/KARBON,http://209.208.39.58:8999/kids-pants/browse/brand/karbon
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-shirts,http://209.208.39.58:8999/kids-shirts
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-shirts-rashguards,http://209.208.39.58:8999/kids-shirts
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-shirts-tennisshirts,https://www.pedigreeskishop.com/kids-shirts-tennis-crew
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-shirts-tshirts,http://209.208.39.58:8999/kids-shirts
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-shirts-turtlenecks,http://209.208.39.58:8999/kids-shirts
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-shorts,https://www.pedigreeskishop.com/kids-shorts
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-shorts-boardshorts,http://209.208.39.58:8999/kids-shorts
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-shorts-tennisshorts,https://www.pedigreeskishop.com/kids-shorts-tennis
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-skirtsanddresses,https://www.pedigreeskishop.com/tennis-girls-clothing-dresses
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-skirtsanddresses-tennis,https://www.pedigreeskishop.com/kids-dresses-tennis
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-sweatersandsweatshirts,https://www.pedigreeskishop.com/kids-shirts-sweatshirts
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-swimwear,http://209.208.39.58:8999/swim
https://www.pedigreeskishop.com/category.cfm/ski/kids-junior-swimwear-accessories,http://209.208.39.58:8999/swim-accessories
